SPECTRUM - MS
20210126_ADHclean.RAW
FTMS + p NSI Full ms [1500.0000-15000.0000]
Scan #: 5-162
RT: 0.13-3.89
AV: 150
Data points: 51817
Mass	Intensity
1484.988049	0.000000
1485.018764	0.000000
1485.049480	0.000000
1485.080197	0.000000
1502.745232	0.000000
1502.776500	0.000000
1502.807768	0.000000
1502.839038	0.000000
1502.870309	1.547546
1502.901580	3.269130
1502.932853	3.994166
1502.964126	3.147622
1502.995401	1.471074
1503.026676	0.012457
1503.057953	0.000000
1503.089230	0.000000
1503.120509	0.000000
1503.151788	0.000000
1503.183069	0.000000
1503.214350	0.000000
1503.245632	0.000000
1503.276916	0.000000
1503.308200	1.563783
1503.339485	3.161777
1503.370772	4.195711
1503.402059	5.217352
1503.433347	5.518840
1503.464636	5.804604
1503.495926	5.168430
1503.527217	4.512097
1503.558510	3.401859
1503.589803	2.281671
1503.621097	1.147756
1503.652392	0.013506
1503.683688	0.000000
1503.714985	0.000000
1503.746283	0.000000
1503.777582	0.000000
1505.187047	0.000000
1505.218391	0.000000
1505.249736	0.000000
1505.281082	0.000000
1505.312429	1.083741
1505.343777	2.190262
1505.375125	3.438136
1505.406475	4.689015
1505.437826	5.501219
1505.469178	6.304241
1505.500531	6.271957
1505.531884	6.222140
1505.563239	5.464062
1505.594595	4.691097
1505.625952	3.680960
1505.657309	2.665814
1505.688668	1.341352
1505.720027	0.010358
1505.751388	0.000000
1505.782750	0.000000
1505.814112	0.000000
1505.845476	0.000000
1507.069419	0.000000
1507.100821	0.000000
1507.132225	0.000000
1507.163630	0.000000
1507.195036	2.027056
1507.226442	3.541645
1507.257850	4.164817
1507.289259	3.572583
1507.320668	2.189906
1507.352079	0.042586
1507.383490	0.000000
1507.414903	0.000000
1507.446317	4.199495
1507.477731	9.393015
1507.509147	13.113937
1507.540563	13.536344
1507.571981	10.076803
1507.603399	5.018724
1507.634819	0.082442
1507.666239	1.253063
1507.697661	36.208605
1507.729083	71.470054
1507.760506	91.491306
1507.791931	85.250414
1507.823356	56.657573
1507.854782	17.089372
1507.886210	0.201088
1507.917638	3.505452
1507.949067	26.690277
1507.980498	45.672058
1508.011929	53.818146
1508.043361	47.510472
1508.074794	28.871035
1508.106228	4.646219
1508.137664	0.059145
1508.169100	0.000000
1508.200537	14.689743
1508.231975	33.120229
1508.263414	43.171407
1508.294854	40.695852
1508.326295	27.391558
1508.357737	9.515972
1508.389181	0.089676
